placement_id,code,plan_model,implementation_model,test_model,review_model,base_pass,mbpp_plus_pass,cloud_api_cost,mean_latency_seconds,p95_latency_seconds,local_calls,cloud_calls,failed_runs,invocations
placement-029,MGMG,gpt-4.1-mini-cloud,gpt-5.5-cloud,gpt-4.1-mini-cloud,gpt-5.5-cloud,0.98,0.86,1.0139534,20.775301825860517,46.663615708996076,0,209,0,209
placement-030,QGMG,qwen-local,gpt-5.5-cloud,gpt-4.1-mini-cloud,gpt-5.5-cloud,0.96,0.78,1.7447888,33.40108700830489,86.9484271670226,50,162,0,212
placement-031,GGMM,gpt-5.5-cloud,gpt-5.5-cloud,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,1.0,0.84,1.0353856,15.87946017000475,37.03855062497314,0,206,0,206
placement-032,MGMM,gpt-4.1-mini-cloud,gpt-5.5-cloud,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,0.94,0.82,0.7074056,20.248438942517385,72.3691386670107,0,227,0,227
placement-033,QGMM,qwen-local,gpt-5.5-cloud,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,0.94,0.7,1.4968782,34.96135036000051,92.29188170802081,50,228,0,278
placement-034,GGMQ,gpt-5.5-cloud,gpt-5.5-cloud,gpt-4.1-mini-cloud,qwen-local,1.0,0.84,1.030459,17.529980255845004,59.65510987502057,54,158,0,212
placement-035,MGMQ,gpt-4.1-mini-cloud,gpt-5.5-cloud,gpt-4.1-mini-cloud,qwen-local,0.94,0.8,0.71088,21.509529396640136,42.993211499997415,55,160,0,215
placement-036,QGMQ,qwen-local,gpt-5.5-cloud,gpt-4.1-mini-cloud,qwen-local,0.92,0.74,1.3497326,34.33059411836089,91.89441395801259,111,122,0,233
placement-037,GMMG,gpt-5.5-cloud,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,gpt-5.5-cloud,1.0,0.82,1.2852872,16.79612604078604,37.57818195800064,0,206,0,206
placement-038,MMMG,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,gpt-5.5-cloud,0.94,0.78,0.6609354000000001,18.002114474201807,74.70318574999692,0,215,0,215
placement-039,QMMG,qwen-local,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,gpt-5.5-cloud,0.92,0.7,1.2808358,31.025107630821875,94.69543416704983,50,198,0,248
placement-040,GMMM,gpt-5.5-cloud,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,1.0,0.86,0.7331956,13.934671279155882,29.655986249970738,0,209,0,209
placement-041,MMMM,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,0.92,0.74,0.0790888,15.478958807621384,47.69048441702034,0,221,0,221
placement-042,QMMM,qwen-local,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,0.88,0.64,0.08845080000000001,20.12621426586411,33.79565654200269,50,183,0,233
placement-043,GMMQ,gpt-5.5-cloud,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,qwen-local,1.0,0.82,0.7230876,15.8360584541352,36.49953058297979,52,154,0,206
placement-044,MMMQ,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,qwen-local,0.94,0.74,0.0572504,13.924499480020023,49.908834250003565,53,156,0,209
placement-045,QMMQ,qwen-local,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,qwen-local,0.8,0.58,0.0732696,26.051244486700742,77.37793258402962,116,132,0,248
placement-046,GQMG,gpt-5.5-cloud,qwen-local,gpt-4.1-mini-cloud,gpt-5.5-cloud,0.92,0.78,1.2432016,20.709384464179166,44.12086070800433,59,168,0,227
placement-047,MQMG,gpt-4.1-mini-cloud,qwen-local,gpt-4.1-mini-cloud,gpt-5.5-cloud,0.86,0.7,0.6861082000000001,20.96291985255666,74.78287120902678,66,182,0,248
placement-048,QQMG,qwen-local,qwen-local,gpt-4.1-mini-cloud,gpt-5.5-cloud,0.66,0.52,1.2584964,35.03839359919541,62.61122779204743,144,188,0,332
placement-049,GQMM,gpt-5.5-cloud,qwen-local,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,0.92,0.78,0.7483524,17.54184019749984,66.58432529197307,61,172,0,233
placement-050,MQMM,gpt-4.1-mini-cloud,qwen-local,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,0.88,0.7,0.0723568,13.88510133078089,27.537832417001482,64,178,0,242
placement-051,QQMM,qwen-local,qwen-local,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,0.6,0.48,0.09166400000000001,24.25084167082561,42.02258745802101,135,170,0,305
placement-052,GQMQ,gpt-5.5-cloud,qwen-local,gpt-4.1-mini-cloud,qwen-local,0.92,0.76,0.665596,16.023778568342095,42.044486208003946,108,104,0,212
placement-053,MQMQ,gpt-4.1-mini-cloud,qwen-local,gpt-4.1-mini-cloud,qwen-local,0.86,0.68,0.0473072,16.01382112999796,61.57021904096473,116,108,0,224
placement-054,QQMQ,qwen-local,qwen-local,gpt-4.1-mini-cloud,qwen-local,0.58,0.46,0.046069200000000005,30.486218740820185,86.03524058300536,200,75,0,275
placement-055,GGQG,gpt-5.5-cloud,gpt-5.5-cloud,qwen-local,gpt-5.5-cloud,1.0,0.84,1.583265,24.17879402342136,68.91950587497558,52,154,0,206
placement-056,MGQG,gpt-4.1-mini-cloud,gpt-5.5-cloud,qwen-local,gpt-5.5-cloud,1.0,0.86,1.2188702,25.89311997166253,83.40863874997012,52,154,0,206
placement-057,QGQG,qwen-local,gpt-5.5-cloud,qwen-local,gpt-5.5-cloud,0.96,0.78,1.83283,38.52924496580148,102.98863866599277,105,110,0,215
placement-058,GGQM,gpt-5.5-cloud,gpt-5.5-cloud,qwen-local,gpt-4.1-mini-cloud,1.0,0.84,1.3270964,32.59585643501836,75.3930320420186,83,216,0,299
placement-059,MGQM,gpt-4.1-mini-cloud,gpt-5.5-cloud,qwen-local,gpt-4.1-mini-cloud,1.0,0.8,0.898942,34.60102516755927,100.76339674997143,82,214,0,296
placement-060,QGQM,qwen-local,gpt-5.5-cloud,qwen-local,gpt-4.1-mini-cloud,0.92,0.62,1.9721446,55.30984612828121,96.56877474999055,154,208,0,362
placement-061,GGQQ,gpt-5.5-cloud,gpt-5.5-cloud,qwen-local,qwen-local,1.0,0.84,1.091285,32.293589036579945,103.78133633401012,134,117,0,251
placement-062,MGQQ,gpt-4.1-mini-cloud,gpt-5.5-cloud,qwen-local,qwen-local,0.98,0.82,0.7405112,34.28942934585153,88.9778914579656,146,123,0,269
placement-063,QGQQ,qwen-local,gpt-5.5-cloud,qwen-local,qwen-local,0.96,0.74,1.885835,57.80149623500416,114.68427066598088,250,100,0,350
placement-064,GMQG,gpt-5.5-cloud,gpt-4.1-mini-cloud,qwen-local,gpt-5.5-cloud,1.0,0.86,1.34012,23.322454307527515,37.18527900002664,53,156,0,209
placement-065,MMQG,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,qwen-local,gpt-5.5-cloud,0.94,0.76,0.9484668,29.12289546913933,89.90420574997552,59,168,0,227
placement-066,QMQG,qwen-local,gpt-4.1-mini-cloud,qwen-local,gpt-5.5-cloud,0.9,0.7,1.3746348,40.9170610575797,96.75054041703697,115,130,0,245
placement-067,GMQM,gpt-5.5-cloud,gpt-4.1-mini-cloud,qwen-local,gpt-4.1-mini-cloud,0.98,0.84,0.693384,22.533080808242083,59.76184887503041,67,184,0,251
placement-068,MMQM,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,qwen-local,gpt-4.1-mini-cloud,0.92,0.72,0.08831040000000001,27.685382379979128,73.30369575001532,84,218,0,302
