config_id,type,label,description,eval_count,trace_count,exact_match,contains_gold_answer,contains_partial_gold_answer,answer_token_f1,supporting_title_recall,mean_latency_s,p95_latency_s,total_cost,observed_models,warnings,cost_vs_cloud,cost_savings_vs_cloud,exact_match_vs_cloud,exact_matches,cost_per_exact_match
v3-gpt-5.5,baseline,Cloud only,All LLM nodes use GPT-5.5.,75,75,0.5466666666666666,0.6533333333333333,0.72,0.7005785695785696,0.8066666666666666,8.66776052,16.78745719999999,1.1817600000000001,openai/gpt-5.5: 247,0,1.0,0.0,1.0,41.0,0.028823414634146345
v3-qwen3.5-2b,baseline,Local only,All LLM nodes use qwen3.5:2b locally.,75,75,0.41333333333333333,0.4666666666666667,0.5733333333333334,0.546863287250384,0.8133333333333334,5.723321106666667,9.7962718,0.0,ollama/qwen3.5:2b: 336,0,0.0,1.0,0.7560975609756098,31.0,0.0
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5,policy,Terminal only,Use GPT-5.5 only for user-facing terminal synthesis; run all support LLM nodes locally.,75,75,0.6533333333333333,0.72,0.8133333333333334,0.789847414234511,0.8133333333333334,10.055490573333334,21.30886859999999,0.52551,ollama/qwen3.5:2b: 262; openai/gpt-5.5: 74,0,0.44468419983753044,0.5553158001624696,1.1951219512195121,49.0,0.010724693877551022
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5,policy,Decision + terminal,Use GPT-5.5 for retrieval decision-making and final synthesis; run query generation and rewriting locally.,75,75,0.6533333333333333,0.7466666666666667,0.84,0.8176825396825397,0.8266666666666667,9.911538573333333,25.048824099999994,1.02619,ollama/qwen3.5:2b: 115; openai/gpt-5.5: 181,0,0.8683573652856754,0.13164263471432458,1.1951219512195121,49.0,0.02094265306122449
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5,policy,Branching + terminal,Use GPT-5.5 for LLM nodes that control branching plus final synthesis; run non-branching rewrite support locally.,75,75,0.52,0.5866666666666667,0.6666666666666666,0.6668313908313909,0.8,9.961122266666667,21.790648599999994,1.20054,openai/gpt-5.5: 244,0,1.0158915515840778,-0.015891551584077845,0.951219512195122,39.0,0.03078307692307692
